Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
3387.5,3385,0,0,0,1,40,446
3392.5,3390,0,0,0,2,37,363
3397.5,3395,0,0,0,3,37,405
3402.5,3400,0,0,0,3,39,409
3407.5,3405,0,0,0,1,43,419
3412.5,3410,0,0,0,1,39,450
3417.5,3415,0,0,0,1,55,417
3422.5,3420,0,0,0,4,40,395
3427.5,3425,0,0,0,1,42,400
3432.5,3430,0,0,0,1,38,415
3437.5,3435,0,0,0,1,42,396
3442.5,3440,0,0,0,1,41,385
3447.5,3445,0,0,0,2,23,418
3452.5,3450,0,0,0,3,31,429
3457.5,3455,0,0,0,2,40,402
3462.5,3460,0,0,0,0,35,412
3467.5,3465,0,0,0,0,43,401
3472.5,3470,0,0,0,3,27,407
3477.5,3475,0,0,0,1,45,380
3482.5,3480,0,0,0,2,41,366
3487.5,3485,0,0,0,1,30,389
3492.5,3490,0,0,0,1,47,367
3497.5,3495,0,0,0,2,37,378
3502.5,3500,0,0,0,3,42,352
3507.5,3505,0,0,0,1,44,313
3512.5,3510,0,0,0,1,41,332
3517.5,3515,0,0,0,4,47,334
3522.5,3520,0,0,0,4,45,303
3527.5,3525,0,0,0,1,39,316
3532.5,3530,0,0,0,0,37,301
3537.5,3535,0,0,0,1,35,309
3542.5,3540,0,0,0,2,40,301
3547.5,3545,0,0,0,1,44,323
3552.5,3550,0,0,0,4,41,295
3557.5,3555,0,0,0,2,42,302
3562.5,3560,0,0,0,3,36,300
3567.5,3565,0,0,0,1,28,282
3572.5,3570,0,0,0,0,42,290
3577.5,3575,0,0,0,1,37,327
3582.5,3580,0,0,0,2,39,344
3587.5,3585,0,0,0,1,37,305
3592.5,3590,0,0,0,1,45,320
3597.5,3595,0,0,0,2,49,288
3602.5,3600,0,0,0,3,38,300
3607.5,3605,0,0,0,0,43,306
3612.5,3610,0,0,0,1,28,287
3617.5,3615,0,0,0,1,36,288
3622.5,3620,0,0,0,0,27,332
3627.5,3625,0,0,0,3,30,323
3632.5,3630,0,0,0,1,40,310
3637.5,3635,0,0,0,2,34,322
3642.5,3640,0,0,0,1,41,337
3647.5,3645,0,0,0,1,38,344
3652.5,3650,0,0,0,1,32,330
3657.5,3655,0,0,0,1,36,338
3662.5,3660,0,0,0,4,42,313
3667.5,3665,0,0,0,0,37,303
3672.5,3670,0,0,0,1,36,327
3677.5,3675,0,0,0,2,34,337
3682.5,3680,0,0,0,4,28,290
3687.5,3685,0,0,0,2,44,294
3692.5,3690,0,0,0,4,40,326
3697.5,3695,0,0,0,3,51,316
3702.5,3700,0,0,0,1,40,284
3707.5,3705,0,0,0,3,35,301
3712.5,3710,0,0,0,2,37,307
3717.5,3715,0,0,0,1,41,317
3722.5,3720,0,0,0,2,35,298
3727.5,3725,0,0,0,0,35,312
3732.5,3730,0,0,0,0,31,319
3737.5,3735,0,0,0,1,34,304
3742.5,3740,0,0,0,0,32,293
3747.5,3745,0,0,0,1,33,295
3752.5,3750,0,0,0,0,24,299
3757.5,3755,0,0,0,1,36,300
3762.5,3760,0,0,0,0,48,277
3767.5,3765,0,0,0,0,38,292
3772.5,3770,0,0,0,0,35,263
3777.5,3775,0,0,0,1,38,289
3782.5,3780,0,0,0,1,31,241
3787.5,3785,0,0,0,1,38,265
3792.5,3790,0,0,0,0,44,277
3797.5,3795,0,0,0,0,33,268
3802.5,3800,0,0,0,0,30,245
3807.5,3805,0,0,0,0,31,247
3812.5,3810,0,0,0,0,44,256
3817.5,3815,0,0,0,0,29,260
3822.5,3820,0,0,0,0,29,248
3827.5,3825,0,0,0,0,38,257
3832.5,3830,0,0,0,0,45,254
3837.5,3835,0,0,0,0,39,258
3842.5,3840,0,0,0,0,38,271
3847.5,3845,0,0,0,0,40,249
3852.5,3850,0,0,0,0,34,280
3857.5,3855,0,0,0,0,43,267
3862.5,3860,0,0,0,0,31,237
3867.5,3865,0,0,0,0,39,276
3872.5,3870,0,0,0,0,43,276
3877.5,3875,0,0,0,0,36,261
3882.5,3880,0,0,0,0,33,261
3887.5,3885,0,0,0,0,37,271
3892.5,3890,0,0,0,0,63,283
3897.5,3895,0,0,0,0,43,274
3902.5,3900,0,0,0,0,42,321
3907.5,3905,0,0,0,0,50,286
3912.5,3910,0,0,0,0,56,313
3917.5,3915,0,0,0,0,47,271
3922.5,3920,0,0,0,0,37,316
3927.5,3925,0,0,0,0,44,314
3932.5,3930,0,0,0,0,42,319
3937.5,3935,0,0,0,0,49,326
3942.5,3940,0,0,0,0,60,307
3947.5,3945,0,0,0,0,56,354
3952.5,3950,0,0,0,0,40,365
3957.5,3955,0,0,0,0,65,345
3962.5,3960,0,0,0,0,57,332
3967.5,3965,0,0,0,0,48,366
3972.5,3970,0,0,0,0,54,382
3977.5,3975,0,0,0,0,61,374
3982.5,3980,0,0,0,0,51,378
3987.5,3985,0,0,0,0,51,373
3992.5,3990,0,0,0,0,64,385
3997.5,3995,0,0,0,0,62,400
4002.5,4000,0,0,0,0,57,376
4007.5,4005,0,0,0,0,66,435
4012.5,4010,0,0,0,0,56,408
4017.5,4015,0,0,0,0,48,415
4022.5,4020,0,0,0,0,57,424
4027.5,4025,0,0,0,0,74,413
4032.5,4030,0,0,0,0,54,421
4037.5,4035,0,0,0,0,54,438
4042.5,4040,0,0,0,0,52,455
4047.5,4045,0,0,0,0,54,422
4052.5,4050,0,0,0,0,64,421
4057.5,4055,0,0,0,0,72,429
4062.5,4060,0,0,0,0,64,461
4067.5,4065,0,0,0,0,74,433
4072.5,4070,0,0,0,0,61,506
4077.5,4075,0,0,0,0,59,422
4082.5,4080,0,0,0,0,82,457
4087.5,4085,0,0,0,0,68,415
4092.5,4090,0,0,0,0,58,442
4097.5,4095,0,0,0,0,61,478
4102.5,4100,0,0,0,0,75,405
4107.5,4105,0,0,0,0,63,443
4112.5,4110,0,0,0,0,63,423
4117.5,4115,0,0,0,0,63,419
4122.5,4120,0,0,0,0,59,432
4127.5,4125,0,0,0,0,65,391
4132.5,4130,0,0,0,0,67,409
4137.5,4135,0,0,0,0,60,399
4142.5,4140,0,0,0,0,57,411
4147.5,4145,0,0,0,0,56,379
4152.5,4150,0,0,0,0,40,388
4157.5,4155,0,0,0,0,49,359
4162.5,4160,0,0,0,0,59,376
4167.5,4165,0,0,0,0,60,344
4172.5,4170,0,0,0,0,50,350
4177.5,4175,0,0,0,0,52,364
4182.5,4180,0,0,0,0,43,381
4187.5,4185,0,0,0,0,47,358
4192.5,4190,0,0,0,0,35,307
4197.5,4195,0,0,0,0,43,360
4202.5,4200,0,0,0,0,44,317
4207.5,4205,0,0,0,0,43,322
4212.5,4210,0,0,0,0,29,319
4217.5,4215,0,0,0,0,38,267
4222.5,4220,0,0,0,0,30,288
4227.5,4225,0,0,0,0,43,288
4232.5,4230,0,0,0,0,35,247
4237.5,4235,0,0,0,0,18,254
4242.5,4240,0,0,0,0,25,289
4247.5,4245,0,0,0,0,17,268
4252.5,4250,0,0,0,0,20,261
4257.5,4255,0,0,0,0,17,274
4262.5,4260,0,0,0,0,21,259
4267.5,4265,0,0,0,0,25,235
4272.5,4270,0,0,0,0,18,241
4277.5,4275,0,0,0,0,16,245
4282.5,4280,0,0,0,0,15,224
4287.5,4285,0,0,0,0,14,232
4292.5,4290,0,0,0,0,9,239
4297.5,4295,0,0,0,0,20,221
4302.5,4300,0,0,0,0,14,227
4307.5,4305,0,0,0,0,11,226
4312.5,4310,0,0,0,0,16,212
4317.5,4315,0,0,0,0,10,240
4322.5,4320,0,0,0,0,10,213
4327.5,4325,0,0,0,0,9,211
4332.5,4330,0,0,0,0,8,215
4337.5,4335,0,0,0,0,8,174
4342.5,4340,0,0,0,0,6,192
4347.5,4345,0,0,0,0,7,194
4352.5,4350,0,0,0,0,3,193
4357.5,4355,0,0,0,0,7,160
4362.5,4360,0,0,0,0,9,172
